order_item_id,order_id,product_id,quantity,unit_price,unit_price_eur
ITEM-175E86FACF,ORD-B84F129E5F,PROD-0212,1,58.51,58.51
ITEM-70256E7B35,ORD-1BA42FE6EE,PROD-0238,1,13.54,13.54
ITEM-6BDFA39139,ORD-8870025F4D,PROD-0092,2,38.64,38.64
ITEM-95C38F2692,ORD-62C3335356,PROD-0164,2,179.62,210.15
ITEM-1A123FFC51,ORD-490B10F8A1,PROD-0220,1,218.33,255.45
ITEM-AC90E1EB75,ORD-C26466C17D,PROD-0043,2,220.21,220.21
ITEM-89CCF92AAE,ORD-C26466C17D,PROD-0108,2,469.77,469.77
ITEM-A2D7966A1D,ORD-C26466C17D,PROD-0194,1,205.14,205.14
ITEM-40077008D1,ORD-C1C456DB82,PROD-0079,2,418.83,418.83
ITEM-C68E99A51A,ORD-779C748BB9,PROD-0016,2,184.01,184.01
ITEM-056A1814A6,ORD-9E142C4429,PROD-0063,2,296.28,296.28
ITEM-E3F31F0139,ORD-9E142C4429,PROD-0030,1,252.12,252.12
ITEM-99CD972626,ORD-6EA8FAD947,PROD-0165,3,360.58,360.58
ITEM-36E218621E,ORD-A28879EF22,PROD-0148,1,1822.61,160.39
ITEM-A27F710876,ORD-A28879EF22,PROD-0169,1,5445.34,479.19
ITEM-4EC51D8087,ORD-A90B17B634,PROD-0095,2,2415.0,212.52
ITEM-51A674F67F,ORD-A90B17B634,PROD-0225,1,3521.36,309.88
ITEM-1987A9B79A,ORD-3A90DDBAA3,PROD-0102,1,2902.39,255.41
ITEM-B9664260CA,ORD-2044708E6A,PROD-0109,1,445.41,445.41
ITEM-C96B8BAE62,ORD-4641162F42,PROD-0180,1,146.44,146.44
ITEM-36F42C418D,ORD-4641162F42,PROD-0248,1,417.15,417.15
ITEM-F833B447FF,ORD-A9BEF5C38B,PROD-0183,1,482.22,110.91
ITEM-FA898E95DB,ORD-8946D4C158,PROD-0088,1,35.17,35.17
ITEM-97DF65D196,ORD-07ED12A891,PROD-0243,2,129.44,129.44
ITEM-E06218A0D7,ORD-68155693B8,PROD-0066,1,142.85,142.85
ITEM-8419A0F589,ORD-68155693B8,PROD-0121,2,486.24,486.24
ITEM-D72F988E3A,ORD-68155693B8,PROD-0027,1,411.79,411.79
ITEM-EA453C4992,ORD-68155693B8,PROD-0247,1,264.7,264.7
ITEM-A769E09451,ORD-D7722E829E,PROD-0054,1,408.93,408.93
ITEM-50135A85F1,ORD-D7722E829E,PROD-0150,1,207.15,207.15
ITEM-35ABD75358,ORD-C00DEE0D48,PROD-0068,3,290.22,290.22
ITEM-9ADAE277AB,ORD-9F76CA86BE,PROD-0052,2,123.53,123.53
ITEM-8E50D471A1,ORD-E35F5CB1F7,PROD-0213,3,290.02,290.02
ITEM-725E0F2208,ORD-1013B8CC46,PROD-0181,1,447.05,447.05
ITEM-4BB5DF3FB1,ORD-1013B8CC46,PROD-0176,1,373.11,373.11
ITEM-C2481F4769,ORD-1013B8CC46,PROD-0101,1,498.07,498.07
ITEM-468DB9AC4A,ORD-90834A0961,PROD-0146,1,336.96,336.96
ITEM-B6E95D1CE2,ORD-181BE13D51,PROD-0121,1,486.24,486.24
ITEM-D2B9992266,ORD-181BE13D51,PROD-0112,1,135.67,135.67
ITEM-B01019370A,ORD-A5E51D4D81,PROD-0111,1,174.73,174.73
ITEM-AFF2696F18,ORD-A5E51D4D81,PROD-0131,1,436.72,436.72
ITEM-A73EF1104D,ORD-2D68468A12,PROD-0056,1,473.69,473.69
ITEM-EFDF0BAD51,ORD-2D68468A12,PROD-0171,1,230.95,230.95
ITEM-231A654185,ORD-2DFE3660A1,PROD-0100,1,9.61,9.61
ITEM-7602DD52D5,ORD-C384D7C48E,PROD-0218,2,492.0,492.0
ITEM-C43BB946B9,ORD-C8BCF9D38D,PROD-0009,2,84.03,84.03
ITEM-C63C144B4D,ORD-C8BCF9D38D,PROD-0034,1,184.19,184.19
ITEM-BD43E125CC,ORD-C8BCF9D38D,PROD-0130,1,83.8,83.8
ITEM-8D7E307E22,ORD-FA0E6717A3,PROD-0023,1,269.4,269.4
ITEM-139E9BC28C,ORD-77573068AA,PROD-0216,1,55.44,55.44
ITEM-D7D7823077,ORD-77573068AA,PROD-0119,1,187.76,187.76
ITEM-AFB107FB5B,ORD-FF610141C8,PROD-0012,3,424.51,424.51
ITEM-AE9E86C6FB,ORD-3C6407CC5A,PROD-0149,2,450.52,450.52
ITEM-27E952FEAB,ORD-B9C5DD008B,PROD-0197,1,284.77,333.18
ITEM-56865341A5,ORD-B9C5DD008B,PROD-0086,1,210.17,245.9
ITEM-238EB2CD99,ORD-D1182A8E14,PROD-0230,1,286.97,335.75
ITEM-905F1E8377,ORD-D1182A8E14,PROD-0132,1,88.71,103.79
ITEM-C1FEAC66EF,ORD-B77C5DBDD5,PROD-0247,1,226.24,264.7
ITEM-EC3E588CFA,ORD-44D389A7FB,PROD-0162,1,66.62,77.94
ITEM-83EE0837E8,ORD-21E85236C9,PROD-0078,1,53.46,53.46
ITEM-5846BB8BD4,ORD-21E85236C9,PROD-0116,1,371.91,371.91
ITEM-43DD7CBB22,ORD-E7D2847098,PROD-0075,1,227.06,227.06
